,Transect,Nitrification,pH,soil_temp,litter_depth,O_depth,soil_moisture,SOM,prop_pine_litter,prop_hw_litter,total_floor_litter,pine_floor_litter,hw_floor_litter,Broad_leaf_herbs,Grassy_herbs,Ferns,Shrubs,Max_height,All_plants,AM_basal,ECM_basal,hw_basal,pine_basal,num_stems,total_basal,ECM.AM,no_pine_saplings,root_density,ECM_abundance,SAP_abundance,AM_abundance,root_endophyte_abundance,contact_expl,short_dist_expl,med_dist_expl,long_dist_expl,Nitrifier_abundance,Copiotroph_abundance,Oligotroph_abundance,denitrification_ECbac_abund,denitrification_ECfun_abund,NH4uptake_ECfun_abund,ECM_denitrification_ECfun,SAP_denitrification_ECfun,ECM_NH4uptake_ECfun,SAP_NH4uptake_ECfun,fun_nitr_pos_module_abundance,fun_nitr_neg_module_abundance,bac_nitr_pos_module_abundance,bac_nitr_neg_module_abundance,Nitrosomonodaceae_abundance,bac_richness,bac_shannon,fun_richness,fun_shannon,bac_evenness,fun_evenness,edaphic_PC1,bac_copy_number,ITS_copy_number,Nitrifiers_denitrification_ECbac,Copios_denitrification_ECbac,soil_percN,soil_percC,EMF_richness,EMF_Shannon,Litterfall_wt,Litterfall_wt_only_leaves,Al_litterfall,B_litterfall,Ca_litterfall,Cu_litterfall,Fe_litterfall,K_litterfall,Mg_litterfall,Mn_litterfall,Mo_litterfall,Na_litterfall,P_litterfall,S_litterfall,Zn_litterfall,N_litterfall,C_litterfall,lit_perc_P,lit.CN,lit.CP,lit.NP,ECM_nitrifiers_cor,ECM_copios_cor,SAP_nitrifiers_cor,SAP_copios_cor,ECM_oligo_cor,SAP_oligo_cor
1,HF1E,0.202166449,4.103333333,17.35,1.2,4.425,0.519447709,0.459035689,0.003431965,1.014223193,0.036025,0.00011875,0.0315375,1.75,0.375,2.75,0.5,0.5325,5.75,70.50033464,218.3210584,288.8213931,0,5,288.8213931,3.12313183,21,2.105084252,0.489607433,0.39028668,0.001519098,0.000887104,0.135995533,0.126719228,0.223580084,0.005235386,0.001889603,0.274207433,0.095864833,0.44125,1.67496347,0.271574596,0.458584096,0.495831388,0.572232491,0.410015741,0.542154016,0.296153006,0.572165576,0.384266438,0.001796223,388.375,5.29884521,131.2857143,3.21483145,0.890637932,0.661301603,-0.085809763,1752575.796,8681247.731,0,0.232235302,1.09192158,24.98408616,22.57142857,1.353746952,99.25,82.37,42.33,20.85,9488,4.92,39.57,1994,2081,2796,0.7852,32.4,755.2,668.4,31.27,0.93,48.28,0.0007552,51.91397849,63930.08475,1231.461864,-0.178174161,-0.428571429,0.04454354,0.5,-0.5,0.571428571
2,HF1H,2.342668553,4.845,17.86,3.1,8.1,0.435804776,0.289904769,0.002970951,1.004397303,0.043575,5.00E-05,0.035125,2,0.9,0.4,0.3,0.2912,3.9,222.6455105,161.6835968,384.3291073,0,7.6,384.3291073,95.08088828,0.4,2.891273734,0.499389148,0.307647905,0.005510333,0.000119001,0.160571723,0.051812927,0.286598179,0.007658915,0.003749476,0.326389982,0.078512008,0.431,1.93508513,0.22232091,0.554840183,0.367204109,0.707245626,0.252590819,0.80023206,0.345941922,0.648040803,0.382490775,0.003679533,402.8,5.284137358,143.2,3.254016195,0.882970422,0.655136974,0.790355255,5941956.982,2591213.528,0,0.362068377,0.829665411,14.77614088,22.5,1.094963356,114.38,101.1,645.5,27.74,11650,6.71,37.82,3008,1705,1231,0,74.08,1131,695.2,75.29,0.91,47.86,0.001131,52.59340659,42316.53404,804.5977011,0.054545455,-0.357575758,-0.224242424,0.187878788,0.127272727,0.03030303
3,HF1M,2.98016885,4.7575,19.025,2.75,2.5,0.501373013,0.319983157,0.644948465,0.36043249,0.034525,0.0165375,0.00923125,3,0,0.5,2.375,0.7025,6.125,97.7573428,517.6725404,225.0259909,382.4461452,4.5,615.4298832,178.3101642,1,1.153304521,0.507396695,0.258594456,0.000565468,0.000324544,0.095095623,0.164065563,0.223961707,0.010928379,0.008209264,0.337238951,0.081294812,0.2775,1.924319299,0.19575941,0.581659718,0.316559556,0.705533356,0.219700897,0.670292879,0.177744204,0.639725788,0.376152807,0.007999606,475,5.563280127,148.75,3.330760422,0.906093608,0.667250489,1.027040566,1700791.572,1741166.918,0,0.420971067,0.681276292,12.71945508,20.5,1.175182705,85.3,73.87,2061,30.62,9612,7.97,74.05,4640,2319,1462,0.6241,117.4,1566,873.2,65.61,1.19,47.88,0.001566,40.23529412,30574.71264,759.8978289,-0.238095238,-0.023809524,-0.142857143,-0.214285714,0.476190476,0.071428571
4,HF1P,0.725667391,4.3025,20.375,3.125,6.25,0.386956743,0.298817406,0.57712137,0.459079408,0.06406875,0.02401875,0.01776875,2.875,1,0.125,0.125,0.536875,5.375,42.76254588,546.2130006,215.7683458,373.2072007,6.25,588.9755465,87.38005472,2.5,2.550623998,0.512275905,0.226288836,0.00265554,7.10E-05,0.253657247,0.037750875,0.150445735,0.047381284,0.002371732,0.302056442,0.105448191,0.345,2.398389873,0.224512284,0.491437859,0.348308003,0.633895224,0.268233225,0.755302708,0.275217347,0.624170203,0.399523337,0.002217123,453.5,5.44624005,136.5714286,3.169636688,0.892102096,0.646462932,0.956386265,2121587.799,3011327.585,0,0.339986334,0.944232561,18.64857936,19.71428571,1.245914895,128.82,83.14,78.36,20.4,11100,7.05,43.08,3600,1801,577.5,0,58.7,1157,805.9,87.14,1.02,49.96,0.001157,48.98039216,43180.63959,881.5903198,-0.018018749,0.071428571,-0.882918713,-0.642857143,0.142857143,0.214285714
5,HF2E,0.050209909,3.63125,18.525,1.375,4.875,0.5379908,0.57255566,0.008208711,0.994361908,0.02585,0.00018125,0.02211875,2,0.375,0.875,0,0.33625,3.875,21.28955991,178.7544765,195.5308001,4.513236298,10.25,200.0440364,48.00337562,17,4.083912009,0.604857461,0.319212391,0.000995376,0,0.257310321,0.039146508,0.304693267,0.00391857,0.000124612,0.257423106,0.113319679,0.44375,2.115590783,0.222076203,0.701908223,0.271928221,0.775613282,0.212205405,0.680417195,0.456140496,0.562619838,0.371117494,0.000121375,389.25,5.28746551,103,2.754498043,0.889694671,0.598377309,-0.580304053,1263432.299,5533308.318,0,0.252247554,1.141148478,30.12240553,22.25,1.356263528,92.4,89.64,49.76,24.4,6811,5.45,44.54,2562,1510,4230,0.3421,41.29,1063,644.7,52.46,0.88,51.17,0.001063,58.14772727,48137.34713,827.8457197,0.08247861,0.071428571,-0.412393049,-0.357142857,0.023809524,0.452380952
6,HF2H,0.494220911,4.525,18.5,1.075,8.25,0.611206738,0.573701011,0,0.98215337,0.02589375,0,0.0212625,1.25,0,3.5,0,0.46475,5.25,121.4445719,228.2055088,294.2430725,10.61583365,5,349.6500808,80.19948403,1.5,6.488855437,0.49559047,0.321464558,0.003080923,0.001997428,0.36476456,0.025513915,0.125307871,0.000692908,0.006927122,0.340633135,0.087877015,0.3475,2.115712477,0.292397045,0.576914926,0.336170338,0.63845149,0.308304049,0.562271401,0.226338105,0.640472887,0.386396643,0.006826085,471.375,5.493286236,127.25,2.561928003,0.894012949,0.529270795,-0.541111668,1172488.696,4882811.937,0.006944445,0.412987226,1.557765802,31.42663781,14.875,0.721379711,139.82,89.51,45.62,26.32,11910,5.44,53.5,2766,2074,1135,0,64.18,622,608.6,78.4,0.9,49.82,0.000622,55.35555556,80096.46302,1446.945338,-0.714285714,-0.19047619,0.333333333,-0.047619048,0.476190476,-0.571428571
7,HF2M,0.077761224,4.0225,17.875,1.25,4,0.499815024,0.465585006,0.027165424,0.98479128,0.02823125,0.0007375,0.024425,1.375,0,0.5,1.375,0.3635,5,27.86405166,150.5534142,175.7864357,2.631030153,7.5,178.4174659,5.435122785,17.25,3.90059729,0.784545776,0.138194029,8.91E-05,0,0.459080688,0.004114866,0.253825597,0.005180375,0.0016006,0.287448562,0.113698438,0.387142857,2.904872187,0.357146745,0.743766324,0.215439616,0.791660598,0.190943339,0.830564292,0.567352771,0.608068742,0.384308911,0.0016006,419.1428571,5.356491713,93.5,2.51551488,0.889676832,0.555218153,0.097034367,1115605.937,3002919.738,0,0.315690239,1.075835726,25.64215648,23.33333333,1.487306656,105.13,73.3,46.5,22.57,7150,9.14,60.05,1891,2248,1992,0.4053,28.61,835.5,671.5,42.8,0.81,49.5,0.0008355,61.11111111,59245.9605,969.4793537,-0.392792202,-0.714285714,0.654653671,0.771428571,0.771428571,-0.771428571
8,HF2P,0.569911582,3.997777778,17.96666667,2.277777778,5.111111111,0.522342481,0.509543432,0.720293648,0.293840148,0.049585,0.033165,0.006845,2.5,0,1,0.2,0.2864,4.6,75.83223744,515.511455,239.0593189,340.3302458,9,591.3436925,15.12169532,1.2,3.05346477,0.723539687,0.183639582,0,9.09E-05,0.581691995,0.002715041,0.106590215,0.033551889,0.001152006,0.294648886,0.111536407,0.412222222,3.253095375,0.305229935,0.67667538,0.280046404,0.809389946,0.167717399,0.834895932,0.587970058,0.606883745,0.378806749,0.000853361,421.6666667,5.463711473,120.8888889,2.536363955,0.907338595,0.53030656,-0.181667034,1335379.83,3071728.979,0,0.271526407,1.278988457,27.62294598,13.77777778,1.16015622,70,70,159.3,16.33,4929,3.86,66.06,2051,882,391.3,0,21.53,720.3,620.4,47.91,0.95,50.25,0.0007203,52.89473684,69762.59892,1318.894905,-0.70747497,-0.883333333,0.479257238,0.733333333,0.466666667,-0.2
9,HF3E,1.398696072,4.339,NA,3.3,5,0.550484245,0.440529582,0.002087548,0.999497453,0.079665,9.00E-05,0.066875,2.2,0.1,1.3,0,0.3109,4.2,92.61385294,214.6989041,306.0520908,0,7.8,307.3127571,4.529477424,13.4,3.602194921,0.651531548,0.225118834,0.000930767,0.00014942,0.329036934,0.072228536,0.252164131,0.000558884,0.000604255,0.311212003,0.100801463,0.42,2.746280387,0.290999596,0.668862261,0.291097606,0.74431125,0.235378209,0.737489308,0.420610058,0.63585099,0.396804663,0.000604255,439.5,5.35812805,129.7777778,3.021325042,0.881592454,0.623629267,NA,6243610.135,3327594.526,0,0.365317233,1.286501234,27.01570988,21.77777778,1.36836357,114.47,92.07,30.74,35.3,10830,6.06,38.8,2475,2521,1725,0.5087,49.08,565.6,513.1,173.7,0.95,48.97,0.0005656,51.54736842,86580.62235,1679.632249,-0.292770022,-0.071428571,0.219577516,0.19047619,0.095238095,-0.119047619
10,HF3H,2.921146872,5.119,17.34,3.4,3.1,0.402597467,0.164106035,0.000796311,0.993207612,0.052585,3.50E-05,0.04511,2.3,1.7,0.6,0.2,0.6914,5.7,301.1822678,9.725321952,310.9075898,0,2.4,310.9075898,9.927832677,1,4.715194484,0.00604675,0.612473524,0.009723216,0.000204509,0.001125515,0.000320609,0.015583422,0.002669624,0.018977153,0.362241383,0.060215835,0.2425,0.975295398,0.112376924,0.006897719,0.571900982,0.014862788,0.610394053,0.637303565,0.057954685,0.689800633,0.340087628,0.016433728,538.875,5.593925096,181.2857143,3.50776204,0.892641,0.675392105,1.877807608,14008714.92,246110.4601,0.005,0.513472801,0.77675044,13.36313423,3.428571429,0.032968558,106.06,103.55,155,26.31,12660,6.49,46.67,2844,1413,404.7,0,41.82,814.4,852.2,16.41,0.97,47.73,0.0008144,49.20618557,58607.56385,1191.060904,-0.5,-0.892857143,-0.392857143,0.285714286,-0.714285714,0.5
11,HF3M,0.362058092,4.07375,18.5,1.625,6.625,0.606582821,0.677450991,0.41862868,0.596389421,0.0403,0.00788125,0.014375,2.125,0.5,1.25,0.25,0.36825,4.875,102.5656126,297.5258421,143.0333431,257.0581116,7,400.0914548,3.034311038,1,3.700286505,0.645919466,0.256877527,0.001085282,0.000131046,0.436226611,0.036178188,0.115882537,0.056677979,0.000594734,0.29910361,0.10567761,0.42875,2.441216026,0.354300858,0.671103136,0.314566747,0.607702189,0.380553782,0.67780416,0.328655108,0.59743276,0.382745327,0.000594734,378.375,5.296749501,113.875,2.812387059,0.895108822,0.593774365,-0.916137311,3990770.611,3969725.272,0,0.209299513,1.488609503,34.28053951,18.875,1.274263623,101.44,88.54,46.65,21.6,9695,4.36,35.19,3226,1919,1725,0,45,502.1,590.8,39.29,0.82,48.9,0.0005021,59.63414634,97390.95798,1633.140809,-0.483196757,-0.523809524,0.483196757,0.547619048,-0.166666667,0.238095238
12,HF3P,1.409917641,4.71375,17.425,2.875,3.75,0.419235419,0.223678928,0.636247648,0.401787257,0.0634125,0.02830625,0.01836875,3.5,0.25,0.375,0.25,0.422,5,55.4046209,302.1441207,60.97285553,296.5758861,4.25,357.5487416,16.25431202,0,1.071966202,0.327037991,0.386435241,0.00287098,0.004017807,0.205845,0.006416841,0.069447889,0.049708391,0.008316752,0.326718272,0.089260585,0.231428571,2.303449999,0.181741291,0.506823588,0.375362517,0.650683513,0.276424856,0.619928117,0.208038774,0.632749761,0.360397884,0.007157429,469.7142857,5.534038292,191,3.825590808,0.90320655,0.732209462,1.542818394,10625754.36,963730.9835,0,0.589172732,0.807608378,11.81606693,18.2,0.824475333,63.51,62.83,116.8,16.49,8062,5.42,60.14,1840,1444,772.1,0.6367,25.17,438.2,663.2,29.24,0.76,47.84,0.0004382,62.94736842,109173.8932,1734.367869,-0.7,-0.1,0.5,-0.2,-0.6,0.7
13,US1E,0.008807131,4.27375,19.30555556,1.675,5,0.553183965,0.463976471,0.00123967,1.00126462,0.04141875,1.88E-05,0.0278125,2.375,0.125,0.125,1,0.425375,3.75,23.87642456,260.3532158,283.6495206,0.580119768,7,284.2296404,14.86943994,8.5,4.618074103,0.786279844,0.114844919,0,3.35E-05,0.097431109,0.24775222,0.340021958,0.000895091,3.46E-05,0.25742199,0.111221697,0.522857143,3.135376234,0.21923341,0.768130497,0.197772637,0.825580595,0.155898593,0.524330878,0.23442677,0.592638677,0.366683628,3.46E-05,380.5714286,5.217344809,89.71428571,2.598115298,0.883094119,0.580954008,0.024234985,3743029.324,4242239.407,0,0.158324506,1.298805427,27.82004433,21.14285714,1.588631201,107.72,98.3,601.9,35.33,9096,5.9,47.07,3388,2224,1611,0,60.32,644.9,723.4,48.15,0.99,48.75,0.0006449,49.24242424,75593.11521,1535.121724,-0.579066024,0.392857143,0.267261242,-0.464285714,-0.464285714,0.464285714
14,US1H,1.090565979,4.8325,20.97222222,0.8,16,0.630598517,0.649595509,0.001524418,0.991229306,0.03728125,3.75E-05,0.0250125,2.375,0.75,1.5,1,0.82225,5.625,267.3564311,31.41579315,298.7722243,0,6.5,298.7722243,0.769164532,0.5,2.937891517,0.165398588,0.374912795,0.019093232,0.006641796,0.138183873,0.005526467,0.008656523,0.020828945,0.004405776,0.28751049,0.087252323,0.39,1.59709922,0.144538769,0.229025155,0.605772095,0.244158117,0.643549744,0.564750422,0.164074244,0.62973943,0.378940215,0.004230278,479,5.616626027,183.25,3.674454624,0.91102436,0.704702816,-1.11004404,6615074.282,1361915.585,0,0.255517636,1.873274189,39.14003353,5.25,0.273069769,71.28,70.18,29.46,21.23,12340,5.53,54.53,911.4,1777,670,0.4681,67.32,273.4,687.7,42.28,0.79,49.85,0.0002734,63.10126582,182333.5772,2889.539137,0.5,0.5,-1,0.5,-1,0.5
15,US1M,0.039899053,3.26,21,2.8,8.2,0.604980706,0.797165709,0.404728338,0.590069714,0.10377,0.01524,0.01964,3.3,0.1,0.2,0.4,0.603,4.5,85.38041993,293.8738728,208.1523839,171.1019089,5.8,379.2542927,141.0854435,11,5.059000632,0.709717502,0.20797513,7.56E-05,0.001018927,0.335867818,0.019173384,0.348688147,0.00627519,0,0.249344692,0.142040495,0.632,2.491423437,0.369828296,0.652084025,0.313745829,0.665438606,0.312279245,0.784976199,0.462161223,0.589990037,0.40202295,0,355,5.16912453,92.44444444,2.73453243,0.881952506,0.60464182,-1.748877584,4547642.786,3990485.051,0,0.123147621,1.628697356,48.94649188,20,1.433531857,98.97,88.21,127.5,19.58,3973,3.57,61.58,2154,1269,531.3,0,29.11,509.3,545.3,42.47,0.76,51.62,0.0005093,67.92105263,101354.8007,1492.244257,NA,0.55,NA,-0.516666667,0.016666667,0.05
16,US1P,0.829132236,3.8725,19.44444444,2.25,7.875,0.430390888,0.557103806,0.986608705,0.019559051,0.0923625,0.0722875,0.0012375,2.75,0.625,0,0.625,0.32125,4.625,26.22654624,543.9420585,26.22654624,543.9420585,6.75,570.1686048,344.8063134,17.5,2.867479241,0.493267034,0.311350958,0.002924557,0.004302206,0.258699099,0.022972871,0.189129149,0.03676688,0.000212723,0.269851387,0.148318453,0.52875,2.468820039,0.248642224,0.439737183,0.438059,0.636195849,0.309844181,0.587069864,0.164836639,0.621859518,0.396157807,0.000212723,393.625,5.360158351,125.375,3.048102062,0.900051285,0.635924079,-0.19586167,8435928.462,963033.6891,0,0.18860979,1.221492921,30.4281822,10.75,1.001012,126.68,115.53,259.5,18.73,5212,2.25,61.16,762.1,1030,1103,0,24.7,495.6,496.6,65.65,0.62,51.59,0.0004956,83.20967742,104096.0452,1251.008878,-0.545544726,-0.238095238,0.264978867,0.023809524,0.047619048,0.261904762
17,US2E,0.235909054,4.39,22.36111111,1.575,7.925,0.539591392,0.500048009,0.203490783,0.854826688,0.09183125,0.00714375,0.02915,2.125,0.375,0,2.875,0.5905,5.5,5.130160648,273.1584246,268.8483098,9.44027545,6,278.2885852,271.3232468,6,3.105424173,0.786948768,0.103232611,0,0.000290318,0.290726594,0.069837011,0.423604358,0.002819274,0.003221969,0.28115999,0.11331343,0.52,2.540976808,0.285189852,0.806487881,0.153775117,0.874623441,0.104382458,0.78934253,0.459775902,0.648459361,0.394122681,0.003202183,444.625,5.352270215,93.28571429,2.393139187,0.880272779,0.527070283,-0.072395962,14555971.55,2448604.015,0,0.210142493,1.094245593,24.293842,19.57142857,1.341572088,71.82,71.82,177.4,36.92,10920,5.82,39.24,3173,2255,1075,0,68.98,913.8,809.5,48.23,1.05,49.11,0.0009138,46.77142857,53742.61326,1149.047932,-0.579066024,-0.392857143,0.579066024,0.5,0.392857143,-0.285714286
18,US2H,0.95664464,4.48875,22.63888889,2.225,6.875,0.389741583,0.335731407,0,0.993344944,0.08089375,0,0.0584375,3.125,0.25,0.375,1.125,0.7555,5.125,3.635496787,239.3606788,242.9961756,0,11.25,242.9961756,126.5139834,0.25,3.458699558,0.498077702,0.327073094,0,0.00044322,0.194691769,0.1182566,0.184002129,0.001329283,0.004247669,0.313623698,0.090536684,0.502857143,2.60213093,0.223000909,0.544474054,0.399669931,0.694463252,0.27311178,0.503226702,0.334763367,0.661320173,0.371746292,0.00421596,473.2857143,5.478523077,128.6666667,2.864714219,0.892001307,0.586373411,0.996953218,9669887.089,3828170.6,0.003861004,0.235206781,0.905057316,19.09878103,20.33333333,1.193976728,89.63,87.24,129.5,33.31,6045,5.6,44.82,3072,2687,881.6,0,66.26,803.8,768,48.51,1.09,50.59,0.0008038,46.41284404,62938.54193,1356.058721,-0.463816829,-0.371428571,0.608759587,0.428571429,0.428571429,-0.371428571
19,US2M,2.005617277,4.02375,22.08333333,2.625,10,0.530237974,0.600237687,0.567487763,0.419495415,0.11868125,0.0336875,0.018175,2.375,0.25,0.25,0.375,0.22475,3.25,0,326.3822249,208.7991498,117.5830751,6,326.3822249,327.3822249,1.5,1.523575972,0.748852445,0.135369304,0.000576606,0.000263109,0.450904845,0.016954411,0.247920195,0.019968228,0.003504251,0.283372119,0.11056927,0.5025,3.488074928,0.400774251,0.814127663,0.159074676,0.867799719,0.115830927,0.792835051,0.450883252,0.658362098,0.40160253,0.003488498,443.375,5.415015333,116.375,2.85773061,0.892870483,0.601943559,-0.658154853,20810991.41,3840998.401,0,0.160301507,1.23094455,29.92619667,21.875,1.58178733,92.36,86.97,383.5,34.28,6652,5.01,41.47,2425,2180,1019,0.2474,50.27,955,664.4,49.66,1.11,49.32,0.000955,44.43243243,51643.97906,1162.303665,-0.654653671,-0.380952381,0.732588632,0.571428571,0.547619048,-0.595238095
20,US2P,1.382148476,4.045,22.08333334,1.625,3.95,0.512295807,0.567602352,0.935328142,0.047515988,0.07700625,0.05379375,0.0023875,1.875,0,0,0,0.183125,2,0,468.3740979,113.8284111,354.5456868,3.5,468.3740979,469.3740979,0.5,2.262904871,0.705721836,0.152520148,0,0.000338837,0.415386729,0.177933483,0.065969585,0.046242499,9.85E-05,0.294086675,0.108405893,0.55,3.904512262,0.277369177,0.728883763,0.225340555,0.832350768,0.141022341,0.573260327,0.273068308,0.664689046,0.441207334,6.66E-05,396.2857143,5.293491026,118.1428571,2.848041039,0.88689306,0.600452874,-0.042882846,22543796.41,2472172.868,0,0.165328836,1.237125625,32.07470512,19.71428571,1.421088014,88.31,70.27,138.5,39.05,8092,5.72,49.48,3353,2138,2411,0,52.28,1251,803.7,55.56,1.03,50.17,0.001251,48.70873786,40103.91687,823.3413269,-0.668153105,-0.107142857,0.579066024,-0.035714286,0,0.428571429
21,US3E,0.072755654,4.1975,20.83333334,1.75,11.75,0.535592611,0.42775521,0.001431546,1.016563962,0.06823125,6.88E-05,0.04439375,1.5,0.5,0.25,2.125,0.525,4.375,2.407218514,262.0060399,308.9573449,1.403746598,6.25,310.3610915,237.5078555,0.75,2.403729423,0.61718853,0.168858505,0.000585459,0.001068702,0.355666234,0.104625871,0.15499907,0.001786782,0.000798053,0.290383422,0.087992519,0.518571429,2.209072944,0.265213481,0.584063352,0.33936501,0.639535037,0.314666328,0.810109384,0.491825434,0.636111774,0.390510217,0.000798053,402.1428571,5.306267465,103,2.798204547,0.886430378,0.610557663,-0.356322653,8702989.53,355997.1532,0,0.236819027,1.008658012,23.57339096,14.2,1.205923126,94.24,90.31,46.35,35.47,9815,4.77,48.49,3573,1946,1207,0,75.07,1002,634.8,40.44,0.86,49.5,0.001002,57.55813953,49401.1976,858.2834331,-0.353553391,-0.8,0.707106781,0.5,0.7,-0.5
22,US3H,0.296496664,4.212,NA,2,7.7,0.595660445,0.656808145,0,0.996050201,0.0663,0,0.047666667,0.8,0.9,0.2,1.9,0.4715,3.8,8.065017585,320.4312624,329.127966,0,7,329.127966,122.7672189,0.4,4.81110086,0.61111395,0.241539048,0.00036444,0.000110507,0.179162389,0.028266311,0.415270136,0.003829751,0,0.304466737,0.11511526,0.729,2.414304754,0.29631818,0.594457346,0.35600476,0.67733743,0.295942878,0.66145941,0.416206297,0.649359805,0.41353998,0,372.5,5.129764192,105.6,2.967041505,0.868061561,0.636602709,NA,6300608.711,294325.7754,0,0.17958092,1.292726368,33.52068011,16.9,1.278845332,85.01,84.05,146.2,48.11,6576,5.12,50.97,2929,1991,2563,0,65.68,794.1,716.9,36.41,1,50.2,0.0007941,50.2,63216.21962,1259.287243,NA,-0.236363636,NA,0.43030303,0.587878788,-0.442424242
23,US3M,0.373093475,4.04375,21.80555556,2.125,5.25,0.52800769,0.514083534,0,0.979166667,0.070275,0,0.02585,2.25,0.75,0.25,1,0.4105,4.625,4.860591962,326.1739309,331.0345228,0,7,331.0345228,142.0057537,3.75,4.586509979,0.766113634,0.112539832,0.000366917,0.000664902,0.362020236,0.080564864,0.32138336,0.002279619,0.000216852,0.253051453,0.113127435,0.57,3.194707871,0.289420947,0.821398568,0.136123187,0.866705463,0.111841347,0.674866547,0.504329026,0.601502434,0.398911431,0.000216852,382,5.241911761,101.4285714,2.527937349,0.883179759,0.548386797,-0.092077835,9467507.498,365285.0978,0,0.147400377,1.114072462,27.44103082,18.71428571,1.375657555,112.32,112.32,94.61,55.29,8688,5.69,56.87,3713,2728,2302,0,70.66,1250,753.2,128.1,0.86,50.35,0.00125,58.54651163,40280,688,-0.222717702,-0.357142857,0.534522484,0.285714286,0.071428571,0.142857143
24,US3P,3.112911874,4.33875,22.08333334,1.375,11.25,0.532748428,0.560949133,0.949963216,0.064116689,0.07811875,0.04374375,0.00365,1.875,0.75,0,1.625,0.523625,4.25,114.7525045,672.5677015,421.1920182,400.9180657,6.5,822.110084,561.0605572,0.75,5.720390424,0.632048342,0.201708197,0.000114286,0.015724122,0.383884022,0.078341848,0.166369087,0.006048278,0.001318542,0.331464423,0.087153851,0.555,3.318266975,0.274553504,0.778301322,0.197954666,0.825178126,0.161363427,0.650839058,0.419758553,0.56800822,0.344759149,0.001205015,378.5,5.165659659,119,3.087177366,0.891711373,0.648074916,-0.475049764,6665600.02,301120.3534,0,0.176883743,1.274177382,36.4137497,16,1.424613425,149.81,139.01,128.5,44.89,12610,8.74,66.46,2672,3092,1419,0,147.1,875.9,945.5,29.09,0.84,48.03,0.0008759,57.17857143,54835.02683,959.013586,0.028988552,-0.085714286,0.115954207,0.257142857,0.542857143,-0.428571429